aptCode,aptName,dongCode,dongName,buildYear,jibun,lat,lng,img,avgDealAmount,totalDealCount
1,광화문풍림스페이스본(101동~105동),1111011500,사직동,2008,9,37.5743822,126.9688505,NULL,124212,33
2,광화문풍림스페이스본(106동),1111011500,사직동,2008,9-1,37.57348,126.967792,NULL,149938,8
3,경희궁의아침4단지,1111011800,내수동,2004,73,37.5722444,126.9722071,NULL,148000,2
4,대성스카이렉스,1111012900,견지동,2008,110,37.5724163,126.9824791,NULL,97200,5
5,포레스트힐시티,1111016200,효제동,2017,65-2,37.5740221,127.0018054,NULL,21800,4
6,송림아마레스아파트,1111017000,명륜1가,2003,2-12,37.59062120000001,126.9976818,NULL,33850,2
7,아남1,1111017100,명륜2가,1995,4,37.5855698,126.9994671,NULL,84579,14
8,아남3,1111017100,명륜2가,1999,237,37.5855655,127.0002337,NULL,67457,7
9,한빛,1111017300,명륜3가,1999,1-30,37.5893352,126.9950098,NULL,34833,3
10,동대문,1111017400,창신동,1966,328-17,37.5722279,127.0151863,NULL,29160,5
11,삼전솔하임2차,1111017500,숭인동,2012,296-19,37.5724383,127.0167548,NULL,12725,6
12,주건축물제1동,1111017500,숭인동,2013,1392,37.5736666,127.0226401,NULL,11233,12
13,숭인한양LEEPS,1111017500,숭인동,2014,1421-2,37.57357390000001,127.0223266,NULL,11886,7
14,종로동광모닝스카이,1111017500,숭인동,2013,1421-1,37.5734074,127.0223446,NULL,12088,4
15,에지앙빌,1111018300,평창동,2004,179-5,37.6069685,126.9675741,NULL,68267,3
16,롯데낙천대,1111018300,평창동,2001,72,37.6091837,126.9756868,NULL,66860,5
17,삼성,1111018300,평창동,1998,596,37.6109493,126.9786561,NULL,41400,11
18,벽산블루밍평창힐스,1111018300,평창동,2004,45,37.6080961,126.9737175,NULL,103667,3
19,현대뜨레비앙,1111013300,익선동,2003,55,37.5750883,126.9900786,NULL,28756,8
20,이화에수풀,1111016600,연건동,2014,195-10,37.57539370000001,127.0018312,NULL,20940,10
21,아마레스,1111017000,명륜1가,2002,45-5,37.5869019,126.9988775,NULL,59500,1
22,MID그린(3동),1111017400,창신동,2002,601-2,37.5779087,127.0099886,NULL,26450,2
23,성용,1111017400,창신동,1994,640-252,37.57500479999999,127.0094655,NULL,26800,1
24,창신쌍용2,1111017400,창신동,1993,703,37.5804209,127.0117238,NULL,51196,28
25,삼전솔하임4차,1111017500,숭인동,2014,318-2,37.5713672,127.0167802,NULL,13830,5
26,경희궁자이(3단지),1111017700,평동,2017,233,35.12477,126.7602498,NULL,139960,20
27,경희궁자이(2단지),1111017900,홍파동,2017,199,37.5709038,126.9639262,NULL,154945,49
28,아남2,1111017100,명륜2가,1996,236,37.5861655,126.9987424,NULL,54750,2
29,창신쌍용1,1111017400,창신동,1992,702,37.580401,127.0139816,NULL,56757,7
30,종로중흥S클래스,1111017500,숭인동,2013,202-3,37.5736023,127.0217228,NULL,13256,17
31,종로유케이201,1111017500,숭인동,2013,201-11,37.5738414,127.0213337,NULL,10950,2
32,"롯데캐슬 로잔",1111018300,평창동,2009,108,37.6098407,126.9774707,NULL,152667,6
33,갑을,1111018300,평창동,1997,595,37.6046031,126.9637494,NULL,18408,6
34,무악다온채,1111018700,무악동,2011,66-1,37.5761242,126.9579142,NULL,46750,2
35,경희궁의아침2단지,1111011800,내수동,2004,71,37.57371029999999,126.9712666,NULL,130000,1
36,경희궁의아침3단지,1111011800,내수동,2004,72,37.5732644,126.9719961,NULL,157688,8
37,효성쥬얼리시티,1111015700,인의동,2006,48-2,37.5711959,126.9986621,NULL,72785,13
38,동성아파트(1동),1111016800,동숭동,1999,4-161,37.5833366,127.0062404,NULL,24000,2
39,MID그린(2동),1111017400,창신동,2002,601-1,37.5778969,127.0097623,NULL,25680,5
40,MID그린(6동),1111017400,창신동,2002,601-7,37.5775766,127.0097179,NULL,20000,1
